ticker,quelle,jahre,roic,umsatz_cagr,eps_cagr,ek_cagr,fcf_cagr
HAPV3.SA,Yahoo,4.0,1.9,10.0,,-0.7,40.1
GSY.TO,Yahoo,4.0,12.9,18.5,,-0.7,
TTD,SEC,10.0,13.8,29.4,,35.2,42.5
0881.HK,Yahoo,4.0,7.5,-3.0,,-0.1,9.4
TUA.AX,Yahoo,4.0,-1.3,38.1,,-0.6,
DRO.AX,Yahoo,4.0,-4.0,134.4,,160.7,
LAC.TO,Yahoo,4.0,-2.3,,,,
CSGP,SEC,11.0,2.2,39.5,,18.4,-0.6
MGLU3.SA,Yahoo,4.0,1.5,1.2,,1.9,84.3
WTC.AX,Yahoo,4.0,13.1,26.5,7.6,27.9,9.1
HFG.DE,Yahoo,4.0,2.5,-3.9,,-11.2,
COIN,SEC,5.0,5.7,-2.2,-25.6,23.4,-31.0
FISV,SEC,11.0,9.9,40.7,7.8,25.5,5.8
BRKM5.SA,Yahoo,4.0,1.0,-9.8,,,
PODD,SEC,11.0,-0.9,59.1,55.3,46.2,
CSNA3.SA,Yahoo,4.0,6.1,0.3,,-12.9,
CSAN3.SA,Yahoo,4.0,5.5,0.9,,-36.4,-5.7
360.AX,Yahoo,4.0,-9.4,28.9,,30.9,
APP,SEC,5.0,19.6,18.4,222.6,-0.0,82.2
1810.HK,Yahoo,4.0,9.1,17.8,149.9,22.8,
4506.T,Yahoo,4.0,-16.2,-6.6,-25.2,-10.4,-42.0
STLAP.PA,Yahoo,4.0,4.1,-5.1,,-9.4,
STLAM.MI,Yahoo,4.0,4.1,-5.1,,-9.4,
1024.HK,Yahoo,4.0,5.8,14.9,,25.9,
0241.HK,Yahoo,4.0,6.1,8.6,,5.6,70.0
BEEF3.SA,Yahoo,4.0,10.1,21.0,-11.2,37.2,15.4
COH.AX,Yahoo,4.0,15.1,6.6,-21.0,-0.2,1.3
2015.HK,Yahoo,4.0,5.1,35.4,,17.4,
MRVE3.SA,Yahoo,4.0,1.0,18.0,,-2.9,
COGN3.SA,Yahoo,4.0,5.5,11.9,,3.4,
AMER3.SA,Yahoo,4.0,99.4,-21.9,,,
ORCL,SEC,11.0,156.0,7.9,10.9,-1.1,
PXA.AX,Yahoo,4.0,0.5,12.5,,-3.3,-12.6
9992.HK,Yahoo,4.0,14.9,42.7,55.9,16.1,115.2
MNST,SEC,11.0,21.7,36.8,,5.5,27.0
TMPV.NS,Yahoo,4.0,10.3,-0.9,-54.1,35.2,
XRO.AX,Yahoo,4.0,7.6,20.6,,65.9,56.1
8267.T,Yahoo,4.0,4.8,5.5,47.6,7.1,37.5
BSX,SEC,11.0,9.8,10.7,,12.1,26.3
EVT.DE,Yahoo,4.0,-6.3,1.6,,-11.8,
LTR.AX,Yahoo,4.0,-3.1,,,7.5,
6976.T,Yahoo,4.0,3.4,3.6,-61.7,2.6,13.8
BLDR,SEC,11.0,40.7,35.5,,40.1,
INTU,SEC,11.0,4.8,18.2,75.3,23.8,16.2
ARB.AX,Yahoo,4.0,13.6,1.5,0.9,6.9,11.6
FCT.MI,Yahoo,4.0,4.1,6.7,,19.4,
EBO.AX,Yahoo,4.0,9.3,7.2,-2.8,8.1,1.8
DYL.AX,Yahoo,4.0,-2.9,-44.4,,131.0,
CVCB3.SA,Yahoo,4.0,7.4,6.8,,14.8,
YDUQ3.SA,Yahoo,4.0,10.1,6.5,,-0.0,59.4
