ticker,sektor,waehrung,marktkap
HAPV3.SA,Financial Services,BRL,3197341696
GSY.TO,Financial Services,CAD,734368320
TTD,Communication Services,USD,6644106240
0881.HK,Consumer Cyclical,HKD,10781657088
TUA.AX,Communication Services,AUD,1217439488
DRO.AX,Industrials,AUD,1811217920
LAC.TO,Basic Materials,CAD,1706301824
CSGP,Real Estate,USD,13120299008
MGLU3.SA,Consumer Cyclical,BRL,3032824576
WTC.AX,Technology,AUD,14588811264
HFG.DE,Consumer Defensive,EUR,451527552
COIN,Financial Services,USD,39171870720
FISV,,USD,28922791936
BRKM5.SA,Basic Materials,BRL,3929053952
PODD,Healthcare,USD,9941230592
CSNA3.SA,Basic Materials,BRL,5954161664
CSAN3.SA,Energy,BRL,13055853568
360.AX,Technology,AUD,5754143744
APP,Communication Services,USD,105562161152
1810.HK,Technology,HKD,659460980736
4506.T,Healthcare,JPY,615470137344
STLAP.PA,Consumer Cyclical,EUR,17367363584
STLAM.MI,Consumer Cyclical,EUR,17405036544
1024.HK,Communication Services,HKD,173326811136
0241.HK,Healthcare,HKD,52488847360
BEEF3.SA,Consumer Defensive,BRL,3171657472
COH.AX,Healthcare,AUD,8737295360
2015.HK,Consumer Cyclical,HKD,93167443968
MRVE3.SA,Real Estate,BRL,2679091968
COGN3.SA,Consumer Defensive,BRL,4222593280
AMER3.SA,Consumer Cyclical,BRL,748913472
ORCL,Technology,USD,433568514048
PXA.AX,Technology,AUD,1382858624
9992.HK,Consumer Cyclical,HKD,202098982912
MNST,Consumer Defensive,USD,91722801152
TMPV.NS,Consumer Cyclical,INR,1231927246848
XRO.AX,Technology,AUD,14122628096
8267.T,Consumer Cyclical,JPY,3801342541824
BSX,Healthcare,USD,75113570304
EVT.DE,Healthcare,EUR,612335488
LTR.AX,Basic Materials,AUD,4053366272
6976.T,Technology,JPY,1378493136896
BLDR,Industrials,USD,7801819136
INTU,Technology,USD,94550794240
ARB.AX,Consumer Cyclical,AUD,1631371520
FCT.MI,Industrials,EUR,4754039808
EBO.AX,Healthcare,AUD,3625084672
DYL.AX,Energy,AUD,1397980288
CVCB3.SA,Consumer Cyclical,BRL,697870144
YDUQ3.SA,Consumer Defensive,BRL,1862564992
ASB.AX,Industrials,AUD,1840243584
